timestamp,hour,day_of_week,month,is_weekend,temperature_C,humidity,predicted_demand_MW,capacity_utilization,alert
2026-07-01 00:00:00,0,2,7,0,20.0,70.0,6259.933809266518,73.64628010901785,🟢 LOW
2026-07-01 01:00:00,1,2,7,0,20.17037086855466,69.88074039201175,6071.6955614262215,71.43171248736732,🟢 LOW
2026-07-01 02:00:00,2,2,7,0,20.66987298107781,69.53108891324554,6262.45842252223,73.675981441438,🟢 LOW
2026-07-01 03:00:00,3,2,7,0,21.464466094067262,68.97487373415292,6021.58631531208,70.842191944848,🟢 LOW
2026-07-01 04:00:00,4,2,7,0,22.5,68.25,6219.672454494383,73.17261711169863,🟢 LOW
2026-07-01 05:00:00,5,2,7,0,23.705904774487397,67.40586665785882,6251.274740272146,73.54440870908408,🟢 LOW
2026-07-01 06:00:00,6,2,7,0,25.0,66.5,6272.101228694858,73.7894262199395,🟢 LOW
2026-07-01 07:00:00,7,2,7,0,26.294095225512603,65.59413334214118,6464.2496245727725,76.04999558320908,🟢 LOW
2026-07-01 08:00:00,8,2,7,0,27.5,64.75,6603.589675868635,77.68929030433688,🟢 LOW
2026-07-01 09:00:00,9,2,7,0,28.535533905932738,64.02512626584708,6790.594383977075,79.88934569384794,🟢 LOW
2026-07-01 10:00:00,10,2,7,0,29.33012701892219,63.46891108675447,6868.397064385151,80.80467134570766,🟢 NORMAL
2026-07-01 11:00:00,11,2,7,0,29.82962913144534,63.11925960798826,6734.286362803196,79.22689838591995,🟢 LOW
2026-07-01 12:00:00,12,2,7,0,30.0,63.0,6737.46099298903,79.26424697634154,🟢 LOW
2026-07-01 13:00:00,13,2,7,0,29.82962913144534,63.11925960798826,6727.422936876485,79.14615219854689,🟢 LOW
2026-07-01 14:00:00,14,2,7,0,29.330127018922195,63.46891108675447,6689.566538613349,78.70078280721586,🟢 LOW
2026-07-01 15:00:00,15,2,7,0,28.535533905932738,64.02512626584708,6700.979434962652,78.8350521760312,🟢 LOW
2026-07-01 16:00:00,16,2,7,0,27.5,64.75,6462.353377605897,76.0276867953635,🟢 LOW
2026-07-01 17:00:00,17,2,7,0,26.294095225512606,65.59413334214118,6610.164992646593,77.76664697231286,🟢 LOW
2026-07-01 18:00:00,18,2,7,0,25.0,66.5,6583.434005264248,77.4521647678147,🟢 LOW
2026-07-01 19:00:00,19,2,7,0,23.705904774487397,67.40586665785882,6751.91726681285,79.43432078603352,🟢 LOW
2026-07-01 20:00:00,20,2,7,0,22.5,68.25,6801.973232552706,80.02321450062007,🟢 NORMAL
2026-07-01 21:00:00,21,2,7,0,21.464466094067262,68.97487373415292,6751.201646071987,79.42590171849396,🟢 LOW
2026-07-01 22:00:00,22,2,7,0,20.66987298107781,69.53108891324554,6728.945979155264,79.1640703430031,🟢 LOW
2026-07-01 23:00:00,23,2,7,0,20.17037086855466,69.88074039201175,6468.14161955376,76.095783759456,🟢 LOW
