timestamp,temperature_C,humidity,hour,day_of_week,month,is_weekend,predicted_demand_MW,capacity_utilization,alert
2026-09-04 22:00:00,27.3,92,22,4,9,0,6143.357279345094,72.27479152170699,🟢 LOW
2026-09-04 23:00:00,26.9,92,23,4,9,0,6184.699480625617,72.76117036030138,🟢 LOW
2026-09-05 00:00:00,26.7,92,0,5,9,1,6238.333327593389,73.39215679521635,🟢 LOW
2026-09-05 01:00:00,26.6,92,1,5,9,1,5995.4181553587105,70.53433123951423,🟢 LOW
2026-09-05 02:00:00,26.0,91,2,5,9,1,6200.079315891358,72.94210959872186,🟢 LOW
2026-09-05 03:00:00,25.7,96,3,5,9,1,6211.659686915662,73.07834925783132,🟢 LOW
2026-09-05 04:00:00,25.4,97,4,5,9,1,6217.461567018522,73.14660667080615,🟢 LOW
2026-09-05 05:00:00,25.0,97,5,5,9,1,6400.637275703339,75.30161500827457,🟢 LOW
2026-09-05 06:00:00,24.9,97,6,5,9,1,6444.452409288922,75.81708716810496,🟢 LOW
2026-09-05 07:00:00,25.1,96,7,5,9,1,6595.273287371164,77.59145043966075,🟢 LOW
2026-09-05 08:00:00,25.3,95,8,5,9,1,6751.161767978214,79.42543256444957,🟢 LOW
2026-09-05 09:00:00,25.5,95,9,5,9,1,6681.678297619087,78.60797997198927,🟢 LOW
2026-09-05 10:00:00,26.3,95,10,5,9,1,6705.277689638388,78.8856198780987,🟢 LOW
2026-09-05 11:00:00,26.8,95,11,5,9,1,6690.5460967946665,78.71230702111373,🟢 LOW
2026-09-05 12:00:00,28.1,86,12,5,9,1,6651.933902858147,78.2580459159782,🟢 LOW
2026-09-05 13:00:00,26.1,91,13,5,9,1,6663.678325316712,78.39621559196132,🟢 LOW
2026-09-05 14:00:00,26.8,89,14,5,9,1,6425.250908893702,75.59118716345532,🟢 LOW
2026-09-05 15:00:00,27.3,86,15,5,9,1,6496.058475006072,76.42421735301261,🟢 LOW
2026-09-05 16:00:00,27.1,86,16,5,9,1,6407.354854310612,75.38064534483073,🟢 LOW
2026-09-05 17:00:00,26.3,91,17,5,9,1,6484.749360031861,76.29116894155132,🟢 LOW
2026-09-05 18:00:00,25.9,95,18,5,9,1,6676.162837367857,78.54309220432772,🟢 LOW
2026-09-05 19:00:00,25.8,95,19,5,9,1,6727.348114573069,79.14527193615376,🟢 LOW
2026-09-05 20:00:00,25.8,95,20,5,9,1,6696.8765904865995,78.7867834174894,🟢 LOW
2026-09-05 21:00:00,25.8,95,21,5,9,1,6429.853310540801,75.64533306518591,🟢 LOW
